United States of America,Federal state,US USA 840,US,00,,,U.S.,U.S.,U.S.A.
Alabama,State,US-AL,AL,01,AL,AL,Ala.,Ala.,
Alaska,State,US-AK,AK,02,AK,AK,Alaska,Alaska,Alas.
Arizona,State,US-AZ,AZ,04,AZ,AZ,Ariz.,Ariz.,Az.
Arkansas,State,US-AR,AR,05,AR,AR,Ark.,Ark.,
California,State,US-CA,CA,06,CA,CF,Calif.,Calif.,"Ca., Cal."
Colorado,State,US-CO,CO,08,CO,CL,Colo.,Colo.,Col.
Connecticut,State,US-CT,CT,09,CT,CT,Conn.,Conn.,Ct.
Delaware,State,US-DE,DE,10,DE,DL,Del.,Del.,De.
District of Columbia,Federal district,US-DC,DC,11,DC,DC,D.C.,D.C.,Wash. D.C.
Florida,State,US-FL,FL,12,FL,FL,Fla.,Fla.,"Fl., Flor."
Georgia,State,US-GA,GA,13,GA,GA,Ga.,Ga.,Geo.
Hawaii,State,US-HI,HI,15,HI,HA,Hawaii,Hawaii,H.I.
Idaho,State,US-ID,ID,16,ID,ID,Idaho,Idaho,"Id., Ida."
Illinois,State,US-IL,IL,17,IL,IL,Ill.,Ill.,"Il., Ills., Ill's"
Indiana,State,US-IN,IN,18,IN,IN,Ind.,Ind.,In.
Iowa,State,US-IA,IA,19,IA,IA,Iowa,Iowa,"Ia., Ioa.[1]"
Kansas,State,US-KS,KS,20,KS,KA,Kans.,Kan.,"Ks., Ka."
Kentucky,State (Commonwealth),US-KY,KY,21,KY,KY,Ky.,Ky.,"Ken., Kent."
Louisiana,State,US-LA,LA,22,LA,LA,La.,La.,
Maine,State,US-ME,ME,23,ME,ME,Maine,Maine,Me.
Maryland,State,US-MD,MD,24,MD,MD,Md.,Md.,
Massachusetts,State (Commonwealth),US-MA,MA,25,MA,MS,Mass.,Mass.,
Michigan,State,US-MI,MI,26,MI,MC,Mich.,Mich.,
Minnesota,State,US-MN,MN,27,MN,MN,Minn.,Minn.,Mn.
Mississippi,State,US-MS,MS,28,MS,MI,Miss.,Miss.,
Missouri,State,US-MO,MO,29,MO,MO,Mo.,Mo.,
Montana,State,US-MT,MT,30,MT,MT,Mont.,Mont.,
Nebraska,State,US-NE,NE,31,NE,NB,Nebr.,Neb.,
Nevada,State,US-NV,NV,32,NV,NV,Nev.,Nev.,Nv.
New Hampshire,State,US-NH,NH,33,NH,NH,N.H.,N.H.,
New Jersey,State,US-NJ,NJ,34,NJ,NJ,N.J.,N.J.,N.Jersey
New Mexico,State,US-NM,NM,35,NM,NM,N. Mex.,N.M.,New M.
New York,State,US-NY,NY,36,NY,NY,N.Y.,N.Y.,N. York
North Carolina,State,US-NC,NC,37,NC,NC,N.C.,N.C.,N. Car.
North Dakota,State,US-ND,ND,38,ND,ND,N. Dak.,N.D.,NoDak
Ohio,State,US-OH,OH,39,OH,OH,Ohio,Ohio,"O., Oh."
Oklahoma,State,US-OK,OK,40,OK,OK,Okla.,Okla.,Ok.
Oregon,State,US-OR,OR,41,OR,OR,Oreg.,Ore.,Or.
Pennsylvania,State (Commonwealth),US-PA,PA,42,PA,PA,Pa.,Pa.,"Penn., Penna."
Rhode Island,State,US-RI,RI,44,RI,RI,R.I.,R.I.,"R.I. & P.P., R. Isl."
South Carolina,State,US-SC,SC,45,SC,SC,S.C.,S.C.,S. Car.
South Dakota,State,US-SD,SD,46,SD,SD,S. Dak.,S.D.,SoDak
Tennessee,State,US-TN,TN,47,TN,TN,Tenn.,Tenn.,
Texas,State,US-TX,TX,48,TX,TX,Tex.,Texas,Tx.
Utah,State,US-UT,UT,49,UT,UT,Utah,Utah,Ut.
Vermont,State,US-VT,VT,50,VT,VT,Vt.,Vt.,
Virginia,State (Commonwealth),US-VA,VA,51,VA,VA,Va.,Va.,Virg.
Washington,State,US-WA,WA,53,WA,WN,Wash.,Wash.,"Wa., Wn.[2]"
West Virginia,State,US-WV,WV,54,WV,WV,W. Va.,W.Va.,"W.V., W. Virg."
Wisconsin,State,US-WI,WI,55,WI,WS,Wis.,Wis.,"Wi., Wisc."
Wyoming,State,US-WY,WY,56,WY,WY,Wyo.,Wyo.,Wy.
American Samoa,Insular area (Territory),ASASM016US-AS,AS,60,AS,AS,A.S.,,
Guam,Insular area (Territory),GUGUM316US-GU,GU,66,GU,GU,Guam,,
Northern Mariana Islands,Insular area (Commonwealth),MPMNP580US-MP,MP,69,MP,CM,M.P.,,CNMI[3]
Puerto Rico,Insular area (Territory),PRPRI630US-PR,PR,72,PR,PR,P.R.,,
U.S. Virgin Islands,Insular area (Territory),VIVIR850US-VI,VI,78,VI,VI,V.I.,,U.S.V.I.
U.S. Minor Outlying Islands,Insular areas,UMUMI581US-UM,UM,74,,,,,
Baker Island,island,UM-81,,81,,,,,XB[4]
Howland Island,island,UM-84,,84,,,,,XH[4]
Jarvis Island,island,UM-86,,86,,,,,XQ[4]
Johnston Atoll,atoll,UM-67,,67,,,,,XU[4]
Kingman Reef,atoll,UM-89,,89,,,,,XM[4]
Midway Islands,atoll,UM-71,,71,,,,,QM[4]
Navassa Island,island,UM-76,,76,,,,,XV[4]
Palmyra Atoll[5],atoll[5],UM-95,,95,,,,,XL[4]
Wake Island,atoll,UM-79,,79,,,,,QW[4]
Micronesia,Freely associated state,FMFSM583,FM,64,FM,,,,
Marshall Islands,Freely associated state,MHMHL584,MH,68,MH,,,,
Palau,Freely associated state,PWPLW585,PW,70,PW,,,,
U.S. Armed Forces – Americas[6],US military mail code,,,,AA,,,,
U.S. Armed Forces – Europe[7],US military mail code,,,,AE,,,,
U.S. Armed Forces – Pacific[8],US military mail code,,,,AP,,,,
Northern Mariana Islands,Obsolete postal code[9],,,,CM,,,,
Panama Canal Zone,Obsolete postal code,PZPCZ594,,,CZ,,,,
Nebraska,Obsolete postal code[10],,,,NB,,,,
Philippine Islands,Obsolete postal code,PHPHL608[11],,,PI,,,,
Trust Territory of the Pacific Islands,Obsolete postal code,PCPCI582,,,TT,,,,
